Prioridade,Horizonte,MAE_7d,RMSE_7d,WAPE_7d_pct,N_Referencias
P2,Próximos 7 dias,258.555,319.2864638533867,46.98437216063965,120
P3,Próximos 7 dias,349.79833333333335,495.77096139917944,25.045376165728918,120
